ID_Obra_Social;razon_social;nombre_fantasia;provincia;telefono;email
1;Instituto provincial de Salud;IPS;Buenos Aires;0800-333-1234;contacto@ips.gob.ar
2;Cobertura de Salud S.A.;CobraSalud;Córdoba;0810-555-6789;info@cobrarsalud.com
3;Obra social del personal de la construccion;OSPC;Buenos Aires;011-4455-2244;info@ospc.org.ar
4;Obra social de petroleros;OSPETROL;Neuquén;0299-488-1122;atencion@ospetrol.com
5;Programa federal incluir salud;Incluir Salud;Formosa;0370-444-3300;contacto@incluirsalud.gob.ar
6;Asociacion Sancor Salud;Sancor Salud;Santa Fe;0342-555-8900;info@sancorsalud.com.ar
7;Obra social de trabajadores rurales y estibadores de la Republica Argentina;OSTRERA;Corrientes;0379-400-5566;contacto@ostrera.org.ar
8;Obra social del personal administrativo y tecnico de la construccion;OSPATC;Mendoza;0261-432-7890;info@ospatc.org.ar
9;Instituto Nacional de Servicios Sociales para Jubilados y Pensionados;PAMI;Nacional;0800-222-7264;info@pami.org.ar
10;Obra social de servicios bancarios;OBSB;CABA;011-5555-0000;contacto@obsb.com.ar
